Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Total
AII-96-18-1,Tormey1987,1atm_furnace,0.001,0.00001,1152,gl - ol - cp - pl,50.2,2.71,13,0.03,12.6,0.39,6.17,10.3,3.5,0.22,,,99.12
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1243,gl,48.8,0.96,17.5,0.01,9.58,0.14,9.62,10.2,2.71,0.11,0.07,,99.7
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1240,gl - ol - sp,49.1,0.99,17.3,0.09,9.3,0.17,9.85,10.5,2.91,0.11,,,100.32
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1235,gl - ol - pl - sp,49.1,0.96,17.3,0.09,9.57,0.19,9.14,10.4,2.95,0.11,,,99.81
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1230,gl - ol - pl,49,1.16,17.3,0.01,9.86,0.16,8.25,10.5,3.11,0.13,0.09,,99.57
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1224,gl - ol - pl,49.1,1.12,17.2,0.04,10,0.18,8.64,10.4,3.03,0.14,,,99.85
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1215,gl - ol - pl,48.2,1.19,16.4,0.09,10.5,0.19,8.39,10.5,3.15,0.13,,,98.74
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1205,gl - ol - pl,48.5,1.52,15.5,0.06,11.4,0.17,7.44,11,3.18,0.17,,,98.94
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1196,gl - ol - pl,49.1,1.43,15.6,0.05,11.7,0.17,7.42,11.2,3.2,0.17,,,100.04
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1192,gl - ol - pl,50.2,1.67,15.4,0.05,11.2,0.22,7.6,14.2,2.77,0.17,0.11,,103.59
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1186,gl - ol - pl,49.4,1.92,13.6,0.08,12.2,0.27,6.57,10.9,2.9,0.21,,,98.05
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1182,gl - ol - pl,50.2,1.81,14.8,0.08,12,0.23,7.31,11.3,3.33,0.18,0.14,,101.38
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1177,gl - ol - pl,49.4,1.57,15.3,0.05,11.3,0.18,6.68,11.5,2.81,0.18,,,98.97
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1171,gl - ol - pl,49.2,1.85,14.1,0.01,11.3,0.15,7.24,11.1,2.59,0.17,0.16,,97.87
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1163,gl - ol - cp - pl,51.3,2.21,13.1,0.03,11.8,0.22,6.82,11.1,3.27,0.19,0.22,,100.26
AII-78-3-102,Tormey1987,1atm_furnace,0.001,0.00001,1161,gl - ol - cp - pl,48.8,2.22,13.8,0.06,12.5,0.26,6.35,11.3,3.74,0.19,,,99.22
AT-112,BakerEggler1987,1atm_furnace,0.001,0.00001,1100,gl - ol - cp - pl,52.3,3.27,12.3,,13.7,0.34,3.83,8.61,2.15,1.46,0.46,,98.42
AT-112,BakerEggler1987,1atm_furnace,0.001,0.00001,1122,gl - ol - cp - pl,51.4,2.12,13,,13.5,0.39,4.55,9.5,2.65,1.23,0.35,,98.69
AT-1+Mix,BakerEggler1987,Piston Cylinder,8,0.5,1250,gl - ol - cp - pl,48.7,0.69,17.2,,9.96,0.09,8.51,11.6,2.63,0.44,0.12,,99.03
AT-1+Mix,BakerEggler1987,Piston Cylinder,8,0.5,1200,gl - ol - cp - pl,48.2,0.98,16.7,,9.83,0.17,8.13,11.8,2.64,0.42,0.23,,99.1
AT-1+Mix,BakerEggler1987,Piston Cylinder,8,0.5,1200,gl - ol - cp - pl,47.8,1.21,15.9,,11.3,0.25,7.17,11.5,2.77,0.55,0.19,,98.64
M-46+Mix,BakerEggler1987,Piston Cylinder,8,0.5,1200,gl - ol - cp - pl,48.4,1.16,15.6,,12.7,0.3,7.25,10.8,2.65,0.54,0.16,,99.56
29/02/2000,Yang1996,1atm_furnace,0.001,0.00001,1223,gl - ol - pl,49.7,1.18,16.4,,8.78,0.15,9,11.8,2.53,0.1,0.04,,99.68
29/02/2000,Yang1996,1atm_furnace,0.001,0.00001,1213,gl - ol - pl,50.2,1.38,15.4,,9.46,0.14,8.35,12,2.63,0.11,0.04,,99.71
29/02/2000,Yang1996,1atm_furnace,0.001,0.00001,1188,gl - ol - pl,50.2,1.58,14.2,,9.84,0.19,7.71,12.3,2.64,0.14,0.04,,98.84
29/02/2000,Yang1996,1atm_furnace,0.001,0.00001,1170,gl - ol - cp - pl,50.8,2.17,13.5,,11,0.27,7.08,11.5,2.52,0.17,0.11,,99.12
29/02/2000,Yang1996,1atm_furnace,0.001,0.00001,1152,gl - ol - cp - pl,50.4,3.33,12.5,,12.9,0.22,6.22,10.4,2.51,0.25,0.48,,99.21
29/02/2000,Yang1996,1atm_furnace,0.001,0.00001,1134,gl - ol - cp - pl,50,4.14,12.1,,13.4,0.23,5.75,10,2.55,0.28,0.54,,98.99
70-002,Yang1996,1atm_furnace,0.001,0.00001,1152,gl - ol - cp - pl,50.1,2.52,13.4,,11.9,0.16,6.3,10.8,3.31,0.38,0.19,,99.06
70-002,Yang1996,1atm_furnace,0.001,0.00001,1140,gl - ol - cp - pl,50.3,2.8,13.2,,12.2,0.28,5.9,10.3,3.25,0.45,0.25,,98.93
70-002,Yang1996,1atm_furnace,0.001,0.00001,1128,gl - ol - cp - pl,49.2,4.17,12,,14.3,0.3,5.51,9.9,2.68,0.32,0.37,,98.75
67-032,Yang1996,1atm_furnace,0.001,0.00001,1171,gl - ol - cp - pl,50.4,2.1,13.5,,11.7,0.22,7.05,11.5,2.66,0.17,0.26,,99.56
67-032,Yang1996,1atm_furnace,0.001,0.00001,1140,gl - ol - cp - pl,50.4,2.62,13,,13,0.27,5.85,10.4,3.16,0.29,0.23,,99.22
67-032,Yang1996,1atm_furnace,0.001,0.00001,1128,gl - ol - cp - pl,49.8,3.56,12.6,,13.4,0.31,5.31,9.7,3.38,0.57,0.34,,98.97
67-032,Yang1996,1atm_furnace,0.001,0.00001,1110,gl - ol - cp - pl,49.8,4.92,11.7,,14.2,0.21,4.7,8.88,3.32,0.68,0.45,,98.86
64-002,Yang1996,1atm_furnace,0.001,0.00001,1160,gl - ol - cp - pl,50.2,2.3,13.4,,11.9,0.22,6.76,11.2,3.03,0.22,0.26,,99.49
