Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Total
B1,Botcharnikov2008,IHPV,2,0.02,1175,gl,49.35,3.11,15.25,,10.69,,6.62,10.34,2.67,0.29,,0.5,98.82
B1,Botcharnikov2008,IHPV,2,0.02,1150,gl,49.87,3.06,15.07,,11.09,,6.05,10.88,2.65,0.31,,1.2,100.18
B1,Botcharnikov2008,IHPV,2,0.02,1125,gl - ol - cp,49.95,3.07,15.19,,11.27,,5.8,11.12,2.7,0.31,,0.8,100.21
B1,Botcharnikov2008,IHPV,2,0.02,1100,gl - ol - cp - pl,49.95,3.72,14.59,,12.78,,5.14,10.16,2.95,0.38,,0.6,100.27
B1,Botcharnikov2008,IHPV,2,0.02,1075,gl - ol - cp - pl,48.63,4.59,13.55,,15.12,,4.11,8.98,2.95,0.52,,2,100.45
R6a,Feig2010,IHPV,2.017,0.02,1140,gl - ol - cp - pl,53.43,0.5,18.53,,4.57,,7.39,11.28,3.67,,,,99.38
R6a,Feig2010,IHPV,2.056,0.02,1180,gl - ol - cp - pl,52.3,0.5,17.28,,6.93,,7.63,11.77,3.37,0.09,,,99.86
HK19,Villiger2004,Piston Cylinder,10,0.5,1300,gl,47.53,0.65,14.45,0.34,6.42,0.15,12.49,12.19,1.87,0.07,,,96.16
HK19,Villiger2004,Piston Cylinder,10,0.5,1270,gl - ol - sp,48.98,0.55,14.67,0.25,6.87,0.15,12.29,12.36,1.65,0.08,,,97.85
HK19,Villiger2004,Piston Cylinder,10,0.5,1240,gl - ol - cp - sp,48.17,0.67,15.91,0.19,7.13,0.16,11.33,12.67,1.66,0.08,,,97.97
HK19,Villiger2004,Piston Cylinder,10,0.5,1210,gl - cp - op - sp,47.15,0.65,17.76,0.09,7.59,0.22,9.79,11.48,2.05,0.09,,,96.87
HK19.1,Villiger2004,Piston Cylinder,10,0.5,1180,gl - cp - op - sp,49.81,0.72,18.53,0.08,7.3,0.13,8.54,10.73,2.18,0.12,,,98.14
HK19.1,Villiger2004,Piston Cylinder,10,0.5,1150,gl - cp - op - sp,49.77,0.78,19.36,0.03,7.13,0.17,7.38,10.31,2.55,0.15,,,97.63
HK19.1,Villiger2004,Piston Cylinder,10,0.5,1120,gl - cp - op - pl - sp,50.19,0.76,18.88,0.02,7.17,0.2,5.96,9.35,2.89,0.17,,,95.59
HK19.1,Villiger2004,Piston Cylinder,10,0.5,1090,gl - cp - op - pl - sp,51.74,0.81,19.46,0.02,7.02,0.14,5.1,8.72,3.13,0.19,,,96.33
HK19.2,Villiger2004,Piston Cylinder,10,0.5,1330,gl,48,0.5,13.89,0.34,6.66,0.17,13.5,11.48,1.61,0.08,,,96.23
HK19.2,Villiger2004,Piston Cylinder,10,0.5,1300,gl - ol,48.44,0.57,13.94,0.35,6.61,0.15,13.64,11.38,1.54,0.08,,,96.7
fr1,Villiger2004,Piston Cylinder,10,0.5,1270,gl - ol - cp - op - sp,48.74,0.57,14.26,0.24,6.57,0.15,11.95,11.87,1.76,0.1,,,96.21
fr2,Villiger2004,Piston Cylinder,10,0.5,1240,gl - cp - op,50.64,0.71,16.73,0.04,7.66,0.15,8.72,11.13,2.3,0.14,,,98.22
fr3,Villiger2004,Piston Cylinder,10,0.5,1210,gl - cp - pl - op - sp,51.64,0.88,17.27,0.01,8.4,0.13,6.88,10.26,2.82,0.2,,,98.49
fr4.1,Villiger2004,Piston Cylinder,10,0.5,1180,gl - cp - pl - sp,52.24,0.91,17.57,0.02,8.2,0.14,5.9,9.34,3.26,0.26,,,97.84
fr5,Villiger2004,Piston Cylinder,10,0.5,1150,gl - cp - pl - sp,55.87,1.34,16.02,0.01,9.73,0.14,3.74,7.14,3.85,0.54,,,98.38
HK19.1,Villiger2007,Piston Cylinder,7,0.5,1240,gl - ol - sp,49.1,0.58,14.93,0.29,6.89,0.2,11.44,12.6,1.86,0.08,,,97.97
HK19.1,Villiger2007,Piston Cylinder,7,0.5,1210,gl - cp - pl - op - sp,50.72,0.72,16.91,0.1,7.69,0.21,8.72,12.26,2.13,0.11,,,99.57
HK19.1,Villiger2007,Piston Cylinder,7,0.5,1180,gl - cp - pl - op - sp,52.08,1.14,16.76,0.06,8.1,0.17,7.05,10.53,2.81,0.17,,,98.87
HK19.1,Villiger2007,Piston Cylinder,7,0.5,1150,gl - cp - pl - op - sp,54.74,1.47,14.86,0.04,7.99,0.16,4.7,9.06,3.07,0.31,,,96.4
HK19.2,Villiger2007,Piston Cylinder,7,0.5,1270,gl - ol - sp,49.28,0.58,14.31,0.31,6.65,0.15,12.6,11.94,1.61,0.09,,,97.52
7Fr1,Villiger2007,Piston Cylinder,7,0.5,1240,gl - ol - cp - sp,51.03,0.6,14.84,0.19,7.28,0.13,10.67,12.19,1.94,0.14,,,99.01
7Fr2,Villiger2007,Piston Cylinder,7,0.5,1210,gl - cp - pl - op - sp,51.16,0.73,15.95,0.05,7.98,0.14,7.92,11.71,2.51,0.21,,,98.36
7Fr3,Villiger2007,Piston Cylinder,7,0.5,1180,gl - cp - pl - sp,51.8,0.95,15.77,0.02,9.82,0.16,7.2,10.22,2.88,0.31,,,99.13
7Fr4,Villiger2007,Piston Cylinder,7,0.5,1150,gl - cp - pl - sp,52.63,1.77,14.78,0.02,12.35,0.19,4.32,8.22,3.47,0.74,,,98.49
7Fr5,Villiger2007,Piston Cylinder,7,0.5,1120,gl - cp - pl - sp,53.13,2.54,13.65,0.02,14.42,0.22,2.9,6.91,3.6,1.25,,,98.64
ICPP123-260,Whitaker2007,Piston Cylinder,9.3,0.5,1280,gl - ol,47.12,1.5,15.66,,10.37,0.13,9.12,10.93,2.32,0.48,0.26,0.05,97.94
ICPP123-260,Whitaker2007,Piston Cylinder,9.3,0.5,1260,gl - ol - cp,46.04,1.63,16.1,,10.49,0.11,8.12,10.21,2.57,0.51,0.34,0.06,96.18
ICPP123-260,Whitaker2007,Piston Cylinder,9.3,0.5,1240,gl - ol - cp,47.05,1.76,16.81,,11.1,0.22,7.59,10.18,2.77,0.63,0.3,0.06,98.47
ICPP123-260,Whitaker2007,Piston Cylinder,9.3,0.5,1220,gl - ol - cp - pl,45.08,2.47,15.9,,13.21,0.18,6.46,9.13,3.04,0.81,0.5,0.11,96.89
ICPP123-260,Whitaker2007,Piston Cylinder,9.3,0.5,1200,gl - ol - cp - pl - sp,43.81,3.37,15.35,,14.66,0.18,5.77,8.44,3.25,1.15,0.75,0.21,96.94
ICPP123-260,Whitaker2007,Piston Cylinder,9.3,0.5,1180,gl - ol - cp - pl - sp,41.88,4.57,14.62,,15.13,0.25,5.45,8.14,3.02,1.35,1.27,0.34,96.02
ICPP123-260,Whitaker2007,Piston Cylinder,6.8,0.5,1260,gl - ol,47.54,1.52,15.13,,10.57,0.15,9.8,10.8,2.24,0.44,0.26,0.05,98.5
ICPP123-260,Whitaker2007,Piston Cylinder,6.8,0.5,1240,gl - ol,48.04,1.62,15.78,,10.24,0.15,8.2,11.13,2.39,0.46,0.7,0.05,98.76
ICPP123-260,Whitaker2007,Piston Cylinder,6.8,0.5,1220,gl - ol - pl,47.77,1.82,15.84,,10.57,0.16,7.76,11.24,2.43,0.51,0.29,0.07,98.46
ICPP123-260,Whitaker2007,Piston Cylinder,6.8,0.5,1200,gl - ol - cp - pl,47.32,2.35,15.17,,12.14,0.19,6.81,10.43,2.61,0.66,0.42,0.1,98.2
ICPP123-260,Whitaker2007,Piston Cylinder,6.8,0.5,1180,gl - ol - cp - pl,46.68,2.76,14.2,,13.14,0.21,6.1,9.99,2.74,0.96,0.51,0.12,97.41
ICPP123-260,Whitaker2007,Piston Cylinder,6.8,0.5,1160,gl - ol - cp - pl,45.38,3.24,14.03,,13.85,0.22,5.35,9.48,3.2,1.07,0.59,0.17,96.58
ICPP123-260,Whitaker2007,Piston Cylinder,6.8,0.5,1140,gl - ol - cp - pl,44.48,5.66,12.9,,14.96,0.26,4.95,9.11,2.82,1.56,1.19,0.37,98.26
ICPP123-260,Whitaker2007,Piston Cylinder,4.3,0.5,1260,gl - ol,47.05,1.5,15.66,,10.32,0.16,8.97,10.96,2.37,0.48,0.28,0.05,97.8
ICPP123-260,Whitaker2007,Piston Cylinder,4.3,0.5,1240,gl - ol,46.97,1.58,16.22,,10.06,0.11,8.29,11.16,2.42,0.47,0.27,0.05,97.6
ICPP123-260,Whitaker2007,Piston Cylinder,4.3,0.5,1220,gl - ol,47.48,1.57,16.31,,10.1,0.15,7.92,11.17,2.45,0.46,0.28,0.06,97.95
ICPP123-260,Whitaker2007,Piston Cylinder,4.3,0.5,1200,gl - ol - pl,47.7,1.73,15.88,,10.17,0.19,7,11.48,2.54,0.52,0.27,0.08,97.56
ICPP123-260,Whitaker2007,Piston Cylinder,4.3,0.5,1180,gl - ol - cp - pl,47.66,2.75,14.07,,12.5,0.22,6,10.68,2.89,0.78,0.46,0.11,98.12
ICPP123-260,Whitaker2007,Piston Cylinder,4.3,0.5,1160,gl - ol - cp - pl,46.18,3.36,13.8,,13.02,0.2,5.23,9.91,3.05,1.04,0.67,0.16,96.62
ICPP123-260,Whitaker2007,Piston Cylinder,4.3,0.5,1140,gl - ol - cp - pl,45.99,4.33,13.34,,13.34,0.2,4.72,9.25,3.03,1.37,0.96,0.24,96.77
ICPP123-260,Whitaker2007,Piston Cylinder,2.8,0.5,1240,gl - ol,48.08,1.47,15.39,,10.5,0.16,9.8,10.98,2.36,0.43,0.27,0.05,99.49
ICPP123-260,Whitaker2007,Piston Cylinder,2.8,0.5,1220,gl - ol,47.94,1.56,15.74,,10.29,0.19,8.85,11.15,2.45,0.46,0.27,0.05,98.95
ICPP123-260,Whitaker2007,Piston Cylinder,2.8,0.5,1200,gl - ol - pl,48.07,1.63,16.16,,10.16,0.2,7.72,11.39,2.57,0.5,0.28,0.06,98.74
ICPP123-260,Whitaker2007,Piston Cylinder,2.8,0.5,1180,gl - ol - pl,47.81,1.89,14.86,,10.91,0.16,7.01,11.58,2.66,0.56,0.28,0.08,97.8
ICPP123-260,Whitaker2007,Piston Cylinder,2.8,0.5,1160,gl - ol - cp - pl,47.79,2.85,13.95,,12.55,0.17,5.73,10.72,3.07,0.88,0.52,0.11,98.34
ICPP123-260,Whitaker2007,Piston Cylinder,2.8,0.5,1140,gl - ol - cp - pl,47.35,3.42,13.37,,13.41,0.22,5.18,10.15,3.12,1.05,0.74,0.16,98.17
ICPP123-260,Whitaker2007,Piston Cylinder,2.8,0.5,1120,gl - ol - cp - pl,48.01,4.17,13.25,,13.39,0.23,4.81,9.57,3.47,1.42,0.86,0.26,99.44
ICPP123-260,Whitaker2007,1atm_furnace,0.001,0.00001,1250,gl - ol - sp,47.15,1.5,14.74,,10.36,0.16,10.21,10.32,2.18,0.35,0.26,,97.23
ICPP123-260,Whitaker2007,1atm_furnace,0.001,0.00001,1230,gl - ol - sp,47.12,1.49,15.36,,10.23,0.17,9.46,10.82,2.24,0.47,0.24,,97.6
ICPP123-260,Whitaker2007,1atm_furnace,0.001,0.00001,1200,gl - ol - pl - sp,47.34,1.66,15.67,,10.07,0.14,8.05,11.29,2.34,0.48,0.29,,97.33
ICPP123-260,Whitaker2007,1atm_furnace,0.001,0.00001,1180,gl - ol - pl - sp,48.17,1.85,14.52,,11.11,0.19,7.4,11.34,2.32,0.55,0.33,,97.78
ICPP123-260,Whitaker2007,1atm_furnace,0.001,0.00001,1150,gl - ol - pl - cp - sp,48.1,2.82,12.78,,12.44,0.2,6.25,11.2,2.44,0.74,0.47,,97.44
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1220,gl - ol,42.02,1.57,15.66,,10.25,0.16,8.78,11.11,2.41,0.44,0.25,0.4,93.05
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1200,gl - ol,47.68,1.59,16.28,,9.84,0.14,7.48,11.34,2.54,0.46,0.21,0.4,97.96
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1180,gl - ol - cp - pl,48.05,2.09,14.89,,10.8,0.2,6.83,11.56,2.6,0.58,0.36,0.5,98.46
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1160,gl - ol - cp - pl,47.17,2.4,14.51,,11.41,0.25,6.15,10.78,2.79,0.67,0.39,0.6,97.12
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1140,gl - ol - cp - pl,46.39,2.67,14.38,,14.38,0.21,5.55,9.81,3.01,0.85,0.63,0.8,98.68
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1120,gl - ol - cp - pl,47,3.17,14.21,,14.21,0.16,4.88,8.73,3.04,1,0.56,1,97.96
ICPP123-260,Whitaker2008,Piston Cylinder,4.3,0.5,1100,gl - ol - cp - pl,47.73,4.42,14.01,,14.01,0.21,4.12,9.08,3.15,1.42,0.86,1.8,100.81
R6a,Feig2006,IHPV,2.018,0.02,1160,gl - ol - cp - pl,52.06,0.48,16.83,,5.88,0.14,7.14,11.42,3.57,0.06,,0.9,99.88
R6a,Feig2006,IHPV,1.015,0.02,1160,gl - ol - cp - pl - sp,52.79,0.42,17.38,,5.56,0.14,7.73,12.2,3.3,0.05,,1,99.27
R6a,Feig2006,IHPV,1.015,0.02,1160,gl - ol - cp - pl - sp,53.98,0.47,17.11,,5.23,0.15,7.57,11.73,3.35,0.06,,0.8,99.65
R6a,Feig2006,IHPV,1.04,0.02,1140,gl - ol - cp - pl,52.74,0.62,16.06,,7.86,0.18,6.43,10.75,3.76,0.07,,1.1,98.47
R6a,Feig2006,IHPV,1.04,0.02,1140,gl - ol - cp - pl,53.06,0.65,16.04,,7.83,0.12,6.43,10.91,3.82,0.07,,1.3,98.93
R6a,Feig2006,IHPV,5.01,0.02,1160,gl - ol - cp - pl,52.7,0.81,17.46,,8.52,0.2,6.29,9.24,3.92,0.09,,1.3,99.23
AH6,Husen2016,IHPV,1.02,0.02,1150,gl - ol - cp - pl,47.43,1.67,14.21,0.06,14.29,0.28,5.6,13.25,3.01,0.26,0,0.05,100.11
AH6,Husen2016,IHPV,1.03,0.02,1175,gl - ol - cp - pl,48.23,1.16,15.29,0.06,11.44,0.2,7.15,13.91,2.44,0.18,0,0.05,100.11
AH6,Husen2016,IHPV,1.02,0.02,1200,gl - ol - pl,47.95,0.93,16.42,0.09,9.99,0.21,8.43,13.73,2.22,0.11,0,0.05,100.13
AH6,Husen2016,IHPV,2.02,0.02,1150,gl - ol - cp - pl,45.73,1.87,13.21,0.11,16.66,0.33,6.17,12.33,3.34,0.35,0,0.07,100.17
AH6,Husen2016,IHPV,2.03,0.02,1175,gl - ol - cp - pl,48.33,1.22,15.21,0.05,11.4,0.18,7.49,13.54,2.5,0.14,0,0.08,100.14
AH6,Husen2016,IHPV,2.02,0.02,1200,gl - ol - cp - pl,48.94,1.03,15.63,0.07,10.37,0.23,7.81,14.04,2.64,0.12,0,0.07,100.95
AH6,Husen2016,IHPV,2.03,0.02,1225,gl,47.79,0.84,16.93,0.06,9.37,0,8.66,13.74,2.38,0.11,0,0.07,99.95
AH6,Husen2016,IHPV,4.02,0.02,1175,gl - ol - cp - pl,46.18,1.63,15.42,0.04,14.34,0.25,6.32,12.25,3.38,0.22,0,0.06,100.09
AH6,Husen2016,IHPV,4.02,0.02,1200,gl - ol - cp - pl,47.63,1.07,15.99,0.05,11.5,0.23,7.74,13.31,2.4,0.14,0,0.1,100.16
AH6,Husen2016,IHPV,4.02,0.02,1225,gl,47.88,0.83,16.88,0.07,9.46,0.2,8.46,13.85,2.35,0.11,0,0.11,100.2
AH6,Husen2016,IHPV,7,0.02,1225,gl - ol - cp - pl,47.32,1.15,16.81,0.03,12.01,0.22,7.68,12.13,2.53,0.15,0,0.07,100.1
AH3,Husen2016,IHPV,1.01,0.02,1125,gl - ol - cp - pl,47.6,2.79,13.6,0,15.23,0.37,4.94,11.11,3.53,0.38,0.44,0.08,100.07
AH3,Husen2016,IHPV,1.06,0.02,1150,gl - ol - cp - pl,48.82,2.18,13.84,0,14.15,0.3,5.61,11.74,3.01,0.35,0,0.08,100.08
AH3,Husen2016,IHPV,1.05,0.02,1175,gl - ol - pl,49.59,1.37,15.58,0,10.64,0.23,7.2,12.59,2.6,0.2,0,0.09,100.09
AH3,Husen2016,IHPV,1.02,0.02,1200,gl,49.35,1.38,15.7,0,10.43,0.24,7.78,12.36,2.59,0.17,0,0.08,100.08
AH3,Husen2016,IHPV,2.03,0.02,1125,gl - ol - cp - pl,47.37,3.12,13.11,0,16.37,0.29,5.1,10.66,3.55,0.42,0,0.04,100.03
AH3,Husen2016,IHPV,2.02,0.02,1150,gl - ol - cp - pl,48.48,2.26,14.38,0,14.08,0.33,5.54,11.51,3.14,0.3,0,0.06,100.08
AH3,Husen2016,IHPV,2.02,0.02,1175,gl - ol - cp - pl,49.39,1.74,14.71,0,11.99,0.25,6.6,12.28,2.82,0.21,0,0.08,100.07
AH3,Husen2016,IHPV,2.02,0.02,1200,gl,49.48,1.38,15.61,0,10.47,0.21,7.84,12.27,2.56,0.17,0,0.08,100.07
AH3,Husen2016,IHPV,4.01,0.02,1150,gl - ol - cp - pl,46.16,3.5,11.61,0,18.56,0.3,6.04,10.62,2.77,0.44,0,0.08,100.08
AH3,Husen2016,IHPV,4.02,0.02,1175,gl - ol - cp - pl,48.48,1.99,14.89,0,12.97,0.28,6.52,11.48,2.85,0.26,0.28,0.07,100.07
AH3,Husen2016,IHPV,4.02,0.02,1200,gl - ol,49.03,1.41,15.55,0,10.41,0.23,7.78,12.59,2.64,0.17,0.18,0.08,100.07
AH3,Husen2016,IHPV,7,0.02,1175,gl - ol - cp - pl,45.61,3.2,14.45,0,17.62,0.32,5,9.69,3.29,0.41,0,0.08,99.67
AH3,Husen2016,IHPV,7,0.02,1200,gl - ol - pl,47.64,1.92,15.75,0,13.6,0.29,6.75,10.5,3.07,0.27,0.21,0.12,100.12
AH3,Husen2016,IHPV,7,0.02,1225,gl - cp,49.49,1.44,16.22,0,10.58,0.19,7.24,11.82,2.76,0.19,0.08,0.11,100.12
AH5,Husen2016,IHPV,1.01,0.02,1125,gl - cp - pl,49.38,2.58,12.96,0,15.53,0.47,5,10.51,3.26,0.31,0,0.05,100.05
AH5,Husen2016,IHPV,1.02,0.02,1150,gl - cp,50.55,1.9,13.7,0,12.26,0.45,6.37,11.82,2.72,0.23,0,0.05,100.05
AH5,Husen2016,IHPV,1.03,0.02,1175,gl,50.36,1.91,13.81,0,12.46,0.39,6.38,11.84,2.63,0.22,0,0.08,100.08
AH5,Husen2016,IHPV,1.02,0.02,1200,gl,50.4,1.93,13.74,0,12.64,0.37,6.48,11.59,2.64,0.22,0,0.08,100.09
AH5,Husen2016,IHPV,2.03,0.02,1125,gl - ol - cp - pl,49.06,2.86,12.65,0,16.22,0.49,4.79,10.05,3.02,0.34,0.52,0.09,100.09
AH5,Husen2016,IHPV,2.02,0.02,1150,gl - cp - pl,50.12,1.98,14.02,0,13,0.4,6.07,11.26,2.9,0.25,0,0.08,100.08
AH5,Husen2016,IHPV,2.02,0.02,1175,gl,50.19,1.9,13.65,0,12.56,0.38,6.48,11.72,2.62,0.2,0.3,0.07,100.07
AH5,Husen2016,IHPV,2.02,0.02,1200,gl,50.51,1.91,13.71,0,12.63,0.36,6.45,11.57,2.64,0.22,0,0.08,100.08
AH5,Husen2016,IHPV,4.02,0.02,1125,gl - ol - cp - pl,46.26,4.1,11.93,0,20.07,0.59,4.04,9.16,2.93,0.41,0.51,0.08,100.08
AH5,Husen2016,IHPV,4.01,0.02,1150,gl - cp - pl,48.69,2.58,13.51,0,16.22,0.47,5.34,9.9,2.99,0.31,0,0.08,100.09
AH5,Husen2016,IHPV,4.02,0.02,1175,gl - cp,50.09,1.98,14.34,0,12.61,0.4,6,11.4,2.69,0.22,0.29,0.08,100.1
AH5,Husen2016,IHPV,4.02,0.02,1200,gl,50.04,1.94,13.7,0,12.45,0.39,6.57,11.81,2.64,0.22,0.23,0.12,100.11
AH5,Husen2016,IHPV,6.98,0.02,1150,gl - cp - pl,46.2,3.8,14.3,0,18.84,0.47,3.26,9.04,3.05,0.42,0.63,0.08,100.09
AH5,Husen2016,IHPV,7,0.02,1175,gl - cp - pl,47.92,3,13.14,0,17.26,0.45,4.87,9.66,2.95,0.33,0.42,0.07,100.07
AH5,Husen2016,IHPV,7,0.02,1200,gl - cp,49.88,2.11,14.67,0,12.83,0.41,5.64,10.99,2.99,0.24,0.24,0.14,100.14
AH5,Husen2016,IHPV,7,0.02,1225,gl,50.63,1.92,13.7,0,12.67,0.39,6.19,11.61,2.66,0.23,0,0.09,100.09
AH6,Husen2016,IHPV,1.02,,1100,gl - ol - cp - pl - mg,47.1,1.83,15.53,0.02,15.22,0.21,5,11.31,3.51,0.29,0,0.59,100.61
AH6,Husen2016,IHPV,1.05,,1125,gl - ol - cp - pl,47.81,1.6,15.06,0.04,13.85,0.25,6.04,11.74,3.4,0.25,0,0.37,100.41
AH6,Husen2016,IHPV,1.05,,1135,gl - ol - cp - pl,48.39,1.33,15.33,0.01,12.23,0.23,6.94,12.14,3.22,0.18,0,0.54,100.54
AH6,Husen2016,IHPV,1.08,,1155,gl - ol - cp - pl,48.22,1.35,14.9,0.04,12.76,0.23,6.78,12.5,2.99,0.18,0.1,0.59,100.64
AH6,Husen2016,IHPV,1.04,,1175,gl - ol - cp - pl,48.37,0.94,16.32,0.04,9.13,0.2,7.99,13.9,2.43,0.11,0,0.71,100.14
AH6,Husen2016,IHPV,2.05,,1125,gl - ol - cp - pl,48.88,1.47,16.01,0.03,13.02,0.24,6.24,10.91,3.03,0.21,0,0.59,100.63
AH6,Husen2016,IHPV,2.03,,1175,gl - ol - cp - pl - sp,47.83,1.27,15.71,0.04,11.14,0.25,7.36,12.73,2.79,0.13,0,0.59,99.84
AH6,Husen2016,IHPV,2.02,,1200,gl,47.88,0.86,16.79,0.06,8.84,0.2,8.56,13.74,2.25,0.1,0,0.74,100.02
AH6,Husen2016,IHPV,4.01,,1125,gl - ol - cp - pl - mg,47.39,1.94,16.32,0.02,15.11,0.3,5.32,9.77,3.51,0.34,0,0.59,100.61
AH6,Husen2016,IHPV,3.97,,1150,gl - ol - cp - pl - mg,47.54,2.15,15.41,0.02,14.81,0.29,5.99,10.05,3.16,0.39,0.19,0.59,100.59
AH6,Husen2016,IHPV,4.01,,1175,gl - ol - cp - pl - mg,47.03,1.24,16.21,0.03,12.4,0.19,7.41,11.67,2.74,0.14,0,0.59,99.65
AH6,Husen2016,IHPV,4.02,,1200,gl - ol - cp - pl,47.32,1.11,16.52,0,11.2,0.26,7.62,12,2.72,0.13,0,0.59,99.47
AH3,Husen2016,IHPV,1.02,,1100,gl - ol - cp - pl,48.63,2.25,14.43,0,14.31,0.24,5.63,10.84,3.36,0.31,0,0.43,100.43
AH3,Husen2016,IHPV,1.05,,1125,gl - ol - cp - pl,49.3,2,14.82,0,12.89,0.24,5.89,11.37,3.2,0.27,0,0.48,100.46
AH3,Husen2016,IHPV,1.05,,1135,gl - ol - cp - pl,49.8,1.57,15.79,0,10.33,0.22,6.68,12.38,3.03,0.21,0,0.55,100.56
AH3,Husen2016,IHPV,1.08,,1155,gl - ol - cp - pl,49.61,1.56,15.17,0,10.62,0.18,7.24,12.61,2.67,0.2,0.14,0.51,100.51
AH3,Husen2016,IHPV,1.04,,1175,gl,49.26,1.38,15.53,0,9.71,0.22,7.74,12.55,2.66,0.18,0,0.7,99.93
AH3,Husen2016,IHPV,2.02,,1075,gl - ol - cp - pl,48.4,2.9,14.65,0,15.37,0.3,4.73,9.84,3.39,0.42,0,0.48,100.48
AH3,Husen2016,IHPV,2.01,,1100,gl - ol - cp - pl,48.56,2.64,14.7,0,15.29,0.26,5.04,9.53,3.2,0.37,0.42,0.26,100.27
AH3,Husen2016,IHPV,2.05,,1125,gl - ol - cp - pl,49.57,1.93,15.66,0,12.46,0.24,5.88,10.86,3.12,0.28,0,0.75,100.75
AH3,Husen2016,IHPV,2.04,,1150,gl,49.66,1.43,15.65,0,9.95,0.23,7.78,12.55,2.54,0.19,0,0.9,100.88
AH3,Husen2016,IHPV,4.01,,1100,gl,47.97,2.84,15.29,0,15.42,0.29,4.93,9.19,3.24,0.45,0.39,0.55,100.56
AH3,Husen2016,IHPV,4.01,,1125,gl - ol - cp - pl,48.21,2.39,15.31,0,15.27,0.27,5.43,9.41,3.33,0.38,0,0.55,100.55
AH3,Husen2016,IHPV,3.97,,1150,gl - ol - cp - pl,47.7,2.35,14.95,0,15.34,0.21,5.87,9.89,3.13,0.32,0.2,0.37,100.33
AH3,Husen2016,IHPV,4.01,,1175,gl - cp - pl,48.4,1.61,15.93,0,11.36,0.23,7.06,11.25,2.91,0.19,0,0.63,99.57
AH3,Husen2016,IHPV,4.02,,1200,gl - cp,48.23,1.44,15.49,0,10.5,0.24,7.68,12.07,2.69,0.17,0,0.55,99.06
AH5,Husen2016,IHPV,1.02,,1100,gl - cp - pl,49.74,2.24,14.26,0,14.18,0.37,5.58,10.31,3.06,0.25,0,0.63,100.62
AH5,Husen2016,IHPV,1.05,,1125,gl - cp,50.14,1.97,14.44,0,12.72,0.41,5.9,11.13,3.07,0.23,0,0.73,100.74
AH5,Husen2016,IHPV,1.05,,1135,gl - cp,50.61,1.95,13.91,0,11.84,0.38,6.44,11.84,2.8,0.22,0,0.82,100.81
AH5,Husen2016,IHPV,1.08,,1155,gl,50.24,1.95,13.66,0,12.42,0.37,6.63,11.68,2.62,0.21,0.19,0.57,100.54
AH5,Husen2016,IHPV,2.02,,1075,gl - ol - cp - pl,49.88,2.68,14.22,0,15.46,0.47,4.52,9.22,3.22,0.33,0,0.79,100.79
AH5,Husen2016,IHPV,2.01,,1100,gl - ol - cp - pl,49.06,2.56,13.67,0,15.79,0.46,5.09,9.59,3.08,0.28,0.42,0.63,100.63
AH5,Husen2016,IHPV,2.05,,1125,gl - cp,50.66,2.04,15.05,0,12.58,0.38,5.32,10.75,2.97,0.25,0,0.94,100.94
AH5,Husen2016,IHPV,2.04,,1150,gl,51.28,2,13.89,0,11.16,0.4,6.55,11.85,2.64,0.23,0,1.12,101.12
AH5,Husen2016,IHPV,4.01,,1100,gl - cp - pl,49.25,2.98,14.36,0,16.37,0.46,4.67,8.46,3.06,0.37,0,0.69,100.67
AH5,Husen2016,IHPV,3.97,,1150,gl - cp - pl,49.44,2.31,14.31,0,14.46,0.43,5.41,10.08,3.04,0.25,0.25,0.76,100.74
AH5,Husen2016,IHPV,4.01,,1175,gl - cp,49.18,1.98,13.58,0,12.53,0.39,6.28,11.38,2.82,0.2,0,0.71,99.05
Y0141-1,"Neave et al., 2019 (HAL)",IHPV,3,,1260,gl - Cr - sp,49.84,0.66,15.86,0.39,8.8,0.17,10.12,13.57,1.50,0.07,0.22,0.38,101.20
Y0142-3,"Neave et al., 2019 (HAL)",IHPV,3,,1240,gl - Cr - sp - ol,49.69,0.66,15.96,0.07,8.87,0.17,9.79,13.84,1.52,0.07,0.13,0.43,100.77
Y0145-4,"Neave et al., 2019 (HAL)",IHPV,3,,1220,gl - Cr - sp - ol,50.15,0.67,16.35,0.06,8.4,0.16,9.44,13.69,1.46,0.07,0.15,,100.60
Y0166-6,"Neave et al., 2019 (HAL)",IHPV,3,,1200,gl - ol - cp - pl,50.37,0.87,16.07,0.03,9.86,0.16,8.43,12.83,1.70,0.09,0.19,,100.61
Y0174-12,"Neave et al., 2019 (HAL)",IHPV,3,,1180,gl - ol - cp - pl,49.47,1.09,15.58,0.02,12.6,0.27,7.56,11.63,1.84,0.13,0.18,,100.36
