Experiment,Reference,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),Na2O+K2O
82-94A-3,"Baker, M.B., Grove, T.L., Price, R. (1994)",0.001,,1241,gl-ol-sp,53.2,0.73,15.8,7,0.11,9.2,10,3.12,0.55,0.33,,0.06,100.1,8.76,5.6018,1.9318,5.09,3.67
82-94A-11,"Baker, M.B., Grove, T.L., Price, R. (1994)",0.001,,1225,gl-ol-sp,53,0.75,15.8,6.95,0.11,8.4,10,3.24,0.53,0.2,,0.05,99.03,8.6,5.499,1.729,4.83,3.77
82-94A-1,"Baker, M.B., Grove, T.L., Price, R. (1994)",0.001,,1210,gl-ol-sp,53.01,0.73,16.03,6.9,0.06,7.86,9.95,3.26,0.61,0.26,,0.04,98.71,8.608,5.50414,1.63414,4.738,3.87
82-94A-17,"Baker, M.B., Grove, T.L., Price, R. (1994)",0.001,,1178,gl-ol-pl-sp,54.1,0.89,15.2,7.1,0.15,7.01,10.17,3.16,0.57,0.23,,0.04,98.62,9.48,6.0644,2.3344,5.75,3.73
82-94A-15,"Baker, M.B., Grove, T.L., Price, R. (1994)",0.001,,1160,gl-ol-cp-pl,55.9,1.11,14.86,7.41,0.17,6,9,3.4,0.81,0.28,,0.05,98.99,10.92,6.9896,2.7796,6.71,4.21
82-94A-16,"Baker, M.B., Grove, T.L., Price, R. (1994)",0.001,,1149,gl-ol-cp-pl,56.8,1.36,14.4,7.8,0.16,5.17,8.3,3.61,0.97,0.37,,,98.94,11.64,7.4522,2.8722,7.06,4.58
75SH-70-3,"Baker, M.B., Grove, T.L., Price, R. (1994)",0.001,,1215,gl-pl,53.5,0.71,17.5,7.19,0.12,7.8,9.2,3.2,0.49,0.2,,0.12,100.03,9,5.756,2.066,5.31,3.69
75SH-70-2,"Baker, M.B., Grove, T.L., Price, R. (1994)",0.001,,1203,gl-ol-pl,54.3,0.72,17,7.26,0.14,7.7,8.99,3.2,0.5,0.22,,0.1,100.13,9.64,6.1672,2.4672,5.94,3.7
75SH-70-1,"Baker, M.B., Grove, T.L., Price, R. (1994)",0.001,,1189,gl-ol-pl,54.9,0.78,16.18,8.9,0.13,6.93,8.9,3.37,0.56,0.24,,0.09,100.98,10.12,6.4756,2.5456,6.19,3.93
75SH-70-4,"Baker, M.B., Grove, T.L., Price, R. (1994)",0.001,,1169,gl-ol-pl,55.9,0.95,15.22,8.4,0.17,6.1,8.98,3.3,0.63,0.3,,0.04,99.99,10.92,6.9896,3.0596,6.99,3.93
ALV-528-1-1-39,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1245,gl,49.6,0.67,16,9.57,0.16,10.4,11.9,1.74,0.1,,,0.09,100.23,5.88,3.7514,1.9114,4.04,1.84
ALV-528-1-1-6,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1228,gl-ol-sp,48.9,0.72,15.9,9.88,0.08,9.14,12.1,1.67,0.11,,,0.06,98.56,5.32,3.3916,1.6116,3.54,1.78
ALV-528-1-1-36,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1215,gl-ol-sp,49.6,0.68,16.4,9.71,0.15,9.76,12.1,1.69,0.1,,,0.1,100.29,5.88,3.7514,1.9614,4.09,1.79
ALV-528-1-1-35,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1211,gl-ol-sp,49.2,0.66,16.1,10.6,0.15,9.58,12.1,1.6,0.1,,,0.09,100.18,5.56,3.5458,1.8458,3.86,1.7
ALV-528-1-1-37,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1199,gl-ol-pl-sp,49.7,0.8,15.5,10.8,0.15,8.8,12.3,1.77,0.11,,,0.06,99.99,5.96,3.8028,1.9228,4.08,1.88
ALV-528-1-1-3,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1196,gl-ol-pl-sp,49.9,1.02,14.5,10.7,0.19,8.15,12.9,1.66,0.12,,,0.05,99.19,6.12,3.9056,2.1256,4.34,1.78
ALV-528-1-1-38,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1192,gl-ol-pl-sp,50.6,0.8,14.9,10.4,0.17,8.61,12.3,1.77,0.1,,,0.09,99.74,6.68,4.2654,2.3954,4.81,1.87
ALV-528-1-1-2,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1187,gl-ol-cp-pl-sp,49.5,1.08,14.3,11.8,0.16,7.47,12.7,1.98,0.14,,,0.05,99.18,5.8,3.7,1.58,3.68,2.12
ALV-528-1-1-30,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1176,gl-ol-cp-pl,50.8,1.12,13.8,10.7,0.19,7.8,12.2,1.46,0.14,,,0.08,98.29,6.84,4.3682,2.7682,5.24,1.6
ALV-528-1-1-15,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1167,gl-ol-cp-pl,51.1,1.65,13.2,12.5,0.1,7.32,11.4,1.39,0.18,,,0.03,98.87,7.08,4.5224,2.9524,5.51,1.57
ALV-528-1-1-11,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1166,gl-ol-cp-pl,51.9,1.28,13.9,11.6,0.18,7.62,11.7,1.42,0.14,,,0.05,99.79,7.72,4.9336,3.3736,6.16,1.56
ALV-528-1-1-4,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1156,gl-ol-cp-pl,50.4,1.51,12.6,13.6,0.14,6.61,11.2,1.25,0.14,,,0.05,97.5,6.52,4.1626,2.7726,5.13,1.39
ALV-528-1-1-17,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1193,gl-ol-cp-pl,50,0.76,14.2,10,0.15,9.01,13.8,1.5,0.13,,,0.09,99.64,6.2,3.957,2.327,4.57,1.63
ALV-525-4b-28,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1245,gl,49.4,0.68,15.6,9.58,0.13,10.8,11.4,1.65,0.12,,,0.12,99.48,5.72,3.6486,1.8786,3.95,1.77
ALV-525-4b-29,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1232,gl-ol,48.8,0.75,15.4,9.25,0.13,10.3,12,1.83,0.12,,,0.09,98.67,5.24,3.3402,1.3902,3.29,1.95
ALV-525-4b-6,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1228,gl-ol,49.5,0.8,15.8,9.1,0.05,9.25,12.1,1.68,0.13,,,0.11,98.52,5.8,3.7,1.89,3.99,1.81
ALV-525-4b-5,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1224,gl-ol-sp,48.2,0.83,15.5,11,0.16,9.29,11.7,1.54,0.12,,,0.07,98.41,4.76,3.0318,1.3718,3.1,1.66
ALV-525-4b-25,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1215,gl-ol-sp,49.1,0.7,15.5,10.1,0.16,9.57,11.8,1.9,0.12,,,0.1,99.05,5.48,3.4944,1.4744,3.46,2.02
ALV-525-4b-24,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1211,gl-ol-sp,48.8,0.71,15.8,10.2,0.16,9.64,11.7,1.89,0.12,,,0.11,99.13,5.24,3.3402,1.3302,3.23,2.01
ALV-525-4b-26,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1199,gl-ol-pl-sp,50,0.76,15.5,10.4,0.14,8.82,11.7,1.82,0.12,,,0.08,99.34,6.2,3.957,2.017,4.26,1.94
ALV-525-4b-3,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1196,gl-ol-pl-sp,50.5,1.07,14.4,9.77,0.17,8.34,12.3,1.8,0.14,,,0.09,98.58,6.6,4.214,2.274,4.66,1.94
ALV-525-4b-27,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1192,gl-ol-pl-sp,50.9,0.8,14.7,9.76,0.17,8.54,12,1.86,0.14,,,0.11,98.98,6.92,4.4196,2.4196,4.92,2
ALV-525-4b-2,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1187,gl-ol-cp-pl-sp,50.6,1.23,14,10.8,0.19,7.41,12.3,1.89,0.17,,,0.12,98.71,6.68,4.2654,2.2054,4.62,2.06
ALV-525-4b-19,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1176,gl-ol-cp-pl,51.4,1.31,13.6,10.5,0.2,7.66,11.9,1.75,0.19,,,0.08,98.59,7.32,4.6766,2.7366,5.38,1.94
ALV-525-4b-15,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1167,gl-ol-cp-pl,51.1,2.43,12.9,11.5,0.13,7.3,11.4,1.47,0.23,,,0.01,98.47,7.08,4.5224,2.8224,5.38,1.7
ALV-525-4b-11,"Grove, T.L., Bryan, W.B. (1983)",0.001,,1166,gl-ol-cp-pl,51,1.43,13.6,11.2,0.1,7.34,11.5,1.48,0.17,,,0.05,97.87,7,4.471,2.821,5.35,1.65
