Experiment,Reference,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),Na2O+K2O
SAY-7E-19,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1121,gl-ol-cp-sp-Lc,51.42,2.25,17.47,5.493768,0.08,2.95,5.23,5.77,5.78,1.6,,0.02,98.19,7.336,4.68688,-6.86312,-4.214,11.55
SAY-7E-21,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1064,gl-ol-cp-sp-kfs,57.33,2.23,18.38,3.486854,0.04,1.43,2.26,6.8,6.43,0.73,,,99.19,12.064,7.72462,-5.50538,-1.166,13.23
BS-501-12,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1328,gl,50.66,1.65,13.52,7.97976,0.15,9.72,8.97,2.33,3.51,0.75,,0.1,99.46,6.728,4.29624,-1.54376,0.888,5.84
BS-501-10A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1302,gl-ol-sp,50.89,1.7,13.83,8.418718,0.15,8.46,9.09,2.51,3.66,0.84,,0.07,99.76,6.912,4.41446,-1.75554,0.742,6.17
BS-501-1A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1270,gl-ol-sp,51.81,1.8,13.92,8.517716,0.13,8.08,9.07,2.41,3.48,0.81,,0.06,100.23,7.648,4.88734,-1.00266,1.758,5.89
BS-501-8A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1235,gl-ol-sp,51.5,1.75,15.14,7.758738,0.13,6.77,9.82,2.43,3.4,0.59,,0.05,99.47,7.4,4.728,-1.102,1.57,5.83
BS-501-2A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1176,gl-ol-sp,51.19,1.84,15.42,7.642746,0.13,5.17,9.54,2.84,4.16,1,,0.05,99.11,7.152,4.56866,-2.43134,0.152,7
BS-501-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1145,gl-ol-cp-pl-sp,53.43,2.29,16.05,7.520722,0.1,3.48,7.44,2.78,4.94,1.11,,,99.28,8.944,5.72002,-1.99998,1.224,7.72
BS-501-6A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1133,gl-ol-cp-pl-sp,52.17,2.57,16.4,7.432726,0.11,3.03,6.74,3.17,5.45,1.64,,,98.85,7.936,5.07238,-3.54762,-0.684,8.62
BS-501-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1116,gl-ol-cp-pl-sp-Lc,50.1,2.48,17.31,7.658698,0.12,3.03,6.5,4.86,5.4,1.87,,,99.48,6.28,4.0084,-6.2516,-3.98,10.26
BS-501-20,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1092.5,gl-ol-cp-pl-sp-Lc,54.02,2.41,18.45,5.348778,0.09,1.72,3.34,6.22,6.24,1.1,,,99.05,9.416,6.02328,-6.43672,-3.044,12.46
94-08-10A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1302,gl,49.26,1.04,17.8,8.243688,0.18,4.04,8.49,2.82,6.99,0.62,,0.04,99.68,5.608,3.57664,-6.23336,-4.202,9.81
94-08-1A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1270,gl-sp-Lc,49.31,1.06,17.7,8.575672,0.18,3.99,8.64,2.67,6.84,0.53,,0.03,99.69,5.648,3.60234,-5.90766,-3.862,9.51
94-08-7A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1203,gl-sp-Lc,47.39,1.2,17.68,9.396674,0.19,4.74,10.11,2.87,4.93,0.02,,0.01,98.7,4.112,2.61546,-5.18454,-3.688,7.8
94-08-2A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1176,gl-cp-sp-Lc ,46.22,1.36,16.07,10.798658,0.23,4.99,10.88,3.29,4.35,1.24,,,99.6,3.176,2.01408,-5.62592,-4.464,7.64
94-08-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1145,gl-ol-pl-sp-Lc,47.1,1.91,15.53,12.726574,0.24,3.96,10.12,2.4,4.05,1.2,,,99.45,3.88,2.4664,-3.9836,-2.57,6.45
94-08-4A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1378,gl-cp-pl-sp-Lc,46.86,1.5,16.22,12.602586,0.28,4.2,8.36,3.64,4.11,1.3,,0.02,99.3,3.688,2.34304,-5.40696,-4.062,7.75
94-08-6A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1133,gl-ol-pl-sp-Lc,46.81,1.69,16.66,12.626574,0.24,3.25,8.91,3.88,4.28,1.08,,0.02,99.66,3.648,2.31734,-5.84266,-4.512,8.16
94-08-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1116,gl-cp-pl-sp-Lc,44.32,1.31,18.18,11.52956,0.24,3.22,8.95,5.29,4.28,1.37,,0.01,98.92,1.656,1.03748,-8.53252,-7.914,9.57
94-18-11,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1300,gl-sp-Lc,47.78,1.11,17.52,11.340482,0.19,3.97,8.75,2.7,6.7,0.81,,,101.13,4.424,2.81592,-6.58408,-4.976,9.4
94-18-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1145,gl-ol-pl-sp-Lc,47.64,1.65,16.4,11.603608,0.22,4.03,9.56,2.85,4.4,0.83,,,99.38,4.312,2.74396,-4.50604,-2.938,7.25
94-18-6A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1133,gl-cp-pl-sp-Lc,45.92,2.18,15.69,13.591544,0.25,3.43,9.39,3.5,3.87,1.36,,,99.41,2.936,1.85988,-5.51012,-4.434,7.37
20421-16,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1234,gl,49.84,1.33,21.74,6.523648,0.19,1.29,4.56,2.49,8.28,0.24,,,96.66,6.072,3.87476,-6.89524,-4.698,10.77
20421-17,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1201,gl-Lc,47.51,1.43,21.82,6.53972,0.19,1.37,4.84,6.5,7.43,0.3,,,98.07,4.208,2.67714,-11.25286,-9.722,13.93
20421-15,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1149,gl-Lc,46.78,1.47,21.34,7.465692,0.21,1.57,5.35,7.08,6.41,0.38,,,98.21,3.624,2.30192,-11.18808,-9.866,13.49
20421-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1116,gl-sp-Lc,44.84,1.32,20.25,8.515652,0.29,2.1,7.3,7.33,5.32,0.79,,,98.23,2.072,1.30476,-11.34524,-10.578,12.65
20421-20,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1092.5,gl-cp-sp-Lc-Nph,45.83,1.14,20.64,7.8497,0.29,1.89,6.73,6.83,5.05,0.77,,,97.17,2.864,1.81362,-10.06638,-9.016,11.88
20421-21,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1064,gl-cp-sp-Lc-Nph,48.96,1.33,19.97,7.028718,0.3,1.34,5.72,7.99,5.08,0.65,,0.01,98.52,5.368,3.42244,-9.64756,-7.702,13.07
K-8-16,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1234,gl-ol-sp,44.16,2.68,16.88,10.165692,0.16,7.92,12.54,3.19,1.56,0.45,,0.01,99.87,1.528,0.95524,-3.79476,-3.222,4.75
K-8-17,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1201,gl-ol-pl-sp,43.94,2.86,16.89,10.038678,0.17,6.52,12.65,3.19,1.99,0.52,,0.01,98.94,1.352,0.84216,-4.33784,-3.828,5.18
K-8-18,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1176,gl-ol-cp-pl-sp,43.79,2.98,18.45,9.556634,0.15,4.85,11.92,3.07,3.03,0.64,,0.01,98.63,1.232,0.76506,-5.33494,-4.868,6.1
K-8-15,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1149,gl-ol-cp-pl-sp,42.74,3.74,16.48,12.091564,0.19,4.66,10.98,4.84,2.68,1.09,,,99.71,0.392,0.22536,-7.29464,-7.128,7.52
K-8-19,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1121,gl-ol-cp-pl-sp,45.38,3.35,17.61,10.697616,0.19,3.52,8.78,5.3,3.7,1.38,,0.01,100.11,2.504,1.58232,-7.41768,-6.496,9
K-14-17,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1201,gl-ol-sp,45.95,2.3,17.2,9.015692,0.19,6.12,10.75,4.35,2.68,0.59,,0.01,99.31,2.96,1.8753,-5.1547,-4.07,7.03
K-14-18,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1176,gl-ol-cp-pl-sp,45.93,2.62,17.12,9.02966,0.1,5.01,10.72,4.27,3.06,0.74,,0.01,98.77,2.944,1.86502,-5.46498,-4.386,7.33
K-14-15,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1149,gl-ol-cp-pl-sp,47.04,2.56,18.21,9.405652,0.21,4.13,9.42,5.56,3.38,0.56,,0.01,100.66,3.832,2.43556,-6.50444,-5.108,8.94
K-14-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1116,gl-ol-cp-pl-sp,48.42,2.76,19.3,7.83469,0.21,2.62,6.24,6.76,4.6,0.69,,,99.59,4.936,3.14488,-8.21512,-6.424,11.36
K-15-15,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1149,gl-ol-pl-sp,48.84,1.75,18.66,9.386654,0.23,3.44,7.64,6.06,3.58,0.61,,,100.37,5.272,3.36076,-6.27924,-4.368,9.64
K-15-19,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1121,gl-ol-cp-pl-sp,49.55,1.85,18.57,9.403648,0.21,2.79,6.68,6.37,3.97,0.53,,0.01,100.11,5.84,3.7257,-6.6143,-4.5,10.34
K-15-20,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1092.5,gl-ol-cp-pl-sp,50.39,1.8,17.7,8.995652,0.25,2.27,6.11,6.4,4.27,0.79,,0.01,99.15,6.512,4.15746,-6.51254,-4.158,10.67
K-15-21,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1064,gl-ol-cp-pl-sp,52.52,1.61,19.43,7.407696,0.22,1.72,4.52,6.98,5.17,0.5,,,100.23,8.216,5.25228,-6.89772,-3.934,12.15
SSC-1-16,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1234,gl-ol-sp,45.54,2.47,14.91,11.258638,0.18,7.53,11.59,3.59,1.47,0.75,,0.02,99.49,2.632,1.66456,-3.39544,-2.428,5.06
SSC-1-17,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1201,gl-ol-sp,44.91,2.61,15.27,10.960642,0.17,6.79,11.81,3.72,1.65,0.71,,0.02,98.8,2.128,1.34074,-4.02926,-3.242,5.37
SSC-1-18,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1176,gl-ol-cp-pl-sp,44.93,2.91,15.57,11.381604,0.1,5.66,11.25,4.12,1.76,0.77,,0.02,98.67,2.144,1.35102,-4.52898,-3.736,5.88
SSC-1-15,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1149,gl-ol-cp-pl-sp,44.35,3.75,15.45,12.731544,0.17,4.4,10.51,4.41,2.42,1.29,,,99.71,1.68,1.0529,-5.7771,-5.15,6.83
SSC-1-19,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1121,gl-ol-cp-pl-sp,43.6,3.63,15.13,12.671524,0.15,4.02,10.06,5.08,2.76,1.98,,0.01,99.33,1.08,0.6674,-7.1726,-6.76,7.84
SSC-2-15,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1149,gl-pl,49.05,2.59,15.95,11.1096,0.23,3.7,7.18,5.62,2.47,0.85,,,98.95,5.44,3.4687,-4.6213,-2.65,8.09
SSC-2-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1116,gl-ol-cp-pl-sp,49.67,2.77,15.94,10.723588,0.23,2.88,6.49,6.03,2.88,0.95,,,98.77,5.936,3.78738,-5.12262,-2.974,8.91
SSC-2-20,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1092.5,gl-ol-cp-pl-sp,51.44,2.33,17.27,9.366634,0.22,2.32,5.33,7.05,3.71,0.73,,,99.95,7.352,4.69716,-6.06284,-3.408,10.76
CSQ-3-1A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1270,gl-ol,47.71,2.38,14.95,11.242686,0.17,9.52,8.95,3.43,1.15,0.43,,0.08,100.17,4.368,2.77994,-1.80006,-0.212,4.58
CSQ-3-8A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1235,gl-ol-sp,47.59,2.59,16.91,10.900682,0.16,7.05,9.99,3.33,1.28,0.37,,0.03,100.36,4.272,2.71826,-1.89174,-0.338,4.61
CSQ-3-7A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1203,gl-ol-pl-sp,48.16,3.58,16.42,10.613668,0.16,6.12,9.94,3.58,1.43,0.49,,0.02,100.68,4.728,3.01124,-1.99876,-0.282,5.01
CSQ-3-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1145,gl-ol-pl-sp,48.37,4.31,14.62,11.638598,0.17,4.58,9.18,3.67,2,0.73,,,99.47,4.896,3.11918,-2.55082,-0.774,5.67
CSQ-3-6A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1133,gl-ol-pl-sp-ox,49.46,4.56,15.14,11.075592,0.18,3.28,7.65,4.65,2.94,0.92,,,100.06,5.768,3.67944,-3.91056,-1.822,7.59
CSQ-3-19,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1121,gl-ol-cp-pl-sp-ox,47.68,3.93,16.68,9.775612,0.15,3.2,7.15,6.16,3.46,0.99,,0.01,99.38,4.344,2.76452,-6.85548,-5.276,9.62
CSQ-3-20,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1092.5,gl-ol-cp-pl-sp-ox,50.74,2.12,19.83,6.628738,0.11,2.04,4.95,7.55,4.6,1.07,,,99.77,6.792,4.33736,-7.81264,-5.358,12.15
TB-253-8A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1235,gl-ol-sp,48.58,2.22,16.88,10.0297,0.14,6.7,8.93,3.46,1.69,0.38,,0.03,99.19,5.064,3.22712,-1.92288,-0.086,5.15
TB-253-7A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1203,gl-ol-pl-sp,49.08,2.38,16.91,10.872666,0.16,5.61,9.04,3.69,1.76,0.56,,0.01,100.24,5.464,3.48412,-1.96588,0.014,5.45
TB-253-2A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1176,gl-ol-pl-sp,49.27,2.7,15.7,10.072686,0.18,5.48,9.41,4.27,1.85,0.59,,0.03,99.71,5.616,3.58178,-2.53822,-0.504,6.12
TB-253-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1145,gl-ol-cp-pl-sp,49.45,4.17,14.25,11.127596,0.15,4.36,8.91,4.04,2.37,0.78,,0.04,99.85,5.76,3.6743,-2.7357,-0.65,6.41
TB-253-6A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1133,gl-ol-cp-pl-ox,53.63,3.64,15.32,9.34465,0.2,2.82,6.04,4.31,3.96,0.63,,,100.07,9.104,5.82282,-2.44718,0.834,8.27
HC-63-8A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1235,gl-pl - sp,48.89,1.28,16.42,10.606714,0.17,7.85,10.88,2.74,0.29,0.12,,0.04,99.43,5.312,3.38646,0.35646,2.282,3.03
HC-63-4A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1137,gl-ol-cp-pl-sp,50.87,4.51,11.81,14.873468,0.33,3.48,7.74,4.25,1.1,0.61,,,99.84,6.896,4.40418,-0.94582,1.546,5.35
PRT-10A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1302,gl,52.48,2.18,15.92,9.935692,0.09,6.85,7.43,4.25,0.73,0.24,,0.06,100.33,8.184,5.23172,0.25172,3.204,4.98
PRT-7A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1203,gl-ol-sp,52.48,2.17,17.05,9.361724,0.09,5.74,7.59,3.95,0.71,0.28,,0.03,99.59,8.184,5.23172,0.57172,3.524,4.66
PRT-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1145,gl-ol-pl-sp,54.87,3.54,14.09,9.831644,0.1,4,7.2,4.5,1.59,0.42,,0.04,100.36,10.096,6.46018,0.37018,4.006,6.09
PRT-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1116,gl-ol-cp-pl-ox,56.4,3.19,15.4,8.23968,0.1,2.61,4.75,5.84,2.75,0.52,,,99.96,11.32,7.2466,-1.3434,2.73,8.59
COL-7A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1203,gl-ol-pl-sp,57.25,0.78,16.8,6.91978,0.12,5.31,7.36,4.07,1.13,0.15,,0.02,100.02,12,7.6835,2.4835,6.8,5.2
COL-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1145,gl-ol-cp-pl-sp,60.2,1.16,14.5,8.115712,0.11,3.43,6.36,4.2,1.84,0.28,,0.02,100.36,14.36,9.1998,3.1598,8.32,6.04
ws-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1145,gl-ol-cp-pl,52.16,3.09,13.05,13.671564,0.22,4.45,8.52,2.81,1.25,0.34,,0.03,99.81,7.928,5.06724,1.00724,3.868,4.06
ws-4A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1378,gl-ol-cp-pl-sp - cp,52.04,3.67,11.87,15.366494,0.22,3.63,7.74,2.75,1.46,0.38,,0.02,99.4,7.832,5.00556,0.79556,3.622,4.21
ws-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1116,gl-ol-cp-pl-sp,52.37,3.28,13.13,13.077536,0.17,2.93,6.99,3.94,2.24,0.72,,,99.08,8.096,5.17518,-1.00482,1.916,6.18
ws-20,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1092.5,gl-ol-cp-pl,57.87,2.53,13.56,10.680622,0.16,2.3,5.41,4.01,2.53,0.77,,,100.01,12.496,8.00218,1.46218,5.956,6.54
FG-8A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1235,gl-ol-pl-sp,49.84,0.93,15.85,9.576734,0.17,8.6,12.72,2.14,0.31,0.19,,0.06,100.52,6.072,3.87476,1.42476,3.622,2.45
FG-7A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1203,gl-ol-pl-sp,49.84,1.16,14.09,11.72467,0.21,7.41,11.73,2.15,0.21,0.17,,0.06,98.92,6.072,3.87476,1.51476,3.712,2.36
FG-4A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1137,gl-ol-cp-pl-sp-ox,50.73,4.35,11.28,16.298438,0.25,3.78,8.23,3.13,0.82,0.64,,0.05,99.84,6.784,4.33222,0.38222,2.834,3.95
94-08A-24,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1160,gl-ol-cp-pl-sp-Lc,47.32,1.49,16.39,9.758658,0.19,4.96,10.78,2.35,4.34,1.21,,0.03,98.99,4.056,2.57948,-4.11052,-2.634,6.69
94-08C-24,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1160,gl-ol-pl-sp-Lc,48.37,1.44,16.65,9.423668,0.18,4.68,10.06,2.34,4.75,0.91,,0.03,99,4.896,3.11918,-3.97082,-2.194,7.09
PC-OP-26,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1072,gl-ol-cp-pl-gl-Nph,52.17,1.44,20.98,6.111784,0.1,3.11,6.44,9.44,0.9,0.43,,,101.23,7.936,5.07238,-5.26762,-2.404,10.34
1,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",0.001,,1224,gl,50.02,2.76,14.89,11.82,0.2,4.99,10.28,2.85,0.93,0.65,,,99.39,6.216,3.96728,0.18728,2.436,3.78
7,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",0.001,,1184,gl-pl,50,2.7,14.91,12.41,0.19,5.05,10.31,2.78,0.92,0.75,,,100.03,6.2,3.957,0.257,2.5,3.7
3,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",0.001,,1154,gl-pl,50.25,2.8,14.59,12.96,0.2,5.2,10.17,2.69,0.94,0.74,,,100.54,6.4,4.0855,0.4555,2.77,3.63
14,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",0.001,,1134,gl-pl,49.75,3.1,13.19,13.87,0.2,5.73,10.02,2.66,1.04,0.72,,,100.28,6,3.8285,0.1285,2.3,3.7
11,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",0.001,,1119,gl-ol-cp-pl-sp,49.51,3.39,12.29,14.62,0.24,5.56,9.73,2.55,1.07,0.74,,,99.7,5.808,3.70514,0.08514,2.188,3.62
27,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",0.001,,1105,gl-cp-pl-sp,53.3,3.39,13.02,11.34,0.23,4.08,7.76,3.18,1.71,0.95,,,98.97,8.84,5.6532,0.7632,3.95,4.89
9,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",0.001,,1084,gl-cp-pl-sp,57.29,3.03,12.9,9.39,0.2,3.01,6.25,3.29,2.35,1.09,,,98.79,12.032,7.70406,2.06406,6.392,5.64
8,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",4.3,,1250,gl,49.42,2.79,15.13,11.95,0.16,5.21,10.33,2.94,0.92,0.7,,,99.55,5.736,3.65888,-0.20112,1.876,3.86
15,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",4.3,,1200,gl,49.69,2.77,15.21,12.08,0.17,5.11,10.28,2.76,0.91,0.69,,,99.66,5.952,3.79766,0.12766,2.282,3.67
16,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",4.3,,1180,gl-cp-pl,49.6,2.88,14.33,12.74,0.21,5.35,10.18,3.09,0.95,0.71,,,100.03,5.88,3.7514,-0.2886,1.84,4.04
13,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",4.3,,1150,gl-cp-pl,48.46,3.73,12.97,16.17,0.22,4.66,8.53,3.21,1.32,0.76,,,100.03,4.968,3.16544,-1.36456,0.438,4.53
20,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",4.3,,1120,gl-ol-cp-pl ,46.34,4.84,11.98,18.46,0.27,3.86,8.15,2.99,1.51,0.94,,,99.33,3.272,2.07576,-2.42424,-1.228,4.5
2,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",9.3,,1280,gl,49.43,2.74,14.99,11.85,0.2,4.99,10.44,2.82,0.93,0.66,,,99.04,5.744,3.66402,-0.08598,1.994,3.75
12,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",9.3,,1250,gl,49.21,2.68,15.08,12.5,0.18,5.2,10.4,2.88,0.9,0.66,,,99.68,5.568,3.55094,-0.22906,1.788,3.78
10,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",9.3,,1210,gl-cp-pl,49.2,3.11,14.77,14.18,0.2,4.37,9.07,2.95,1.07,0.77,,,99.7,5.56,3.5458,-0.4742,1.54,4.02
4,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",9.3,,1180,gl-cp-pl,46.37,4.63,13.01,18.16,0.25,3.77,8.04,2.88,1.5,0.94,,,99.55,3.296,2.09118,-2.28882,-1.084,4.38
19,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",9.3,,1160,gl-cp-pl-ap,46.15,4.92,12.76,18.02,0.21,3.55,7.88,2.91,1.47,0.9,,,98.76,3.12,1.9781,-2.4019,-1.26,4.38
23,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",14.3,,1300,gl,49.69,2.66,15.03,12.53,0.21,5.14,10.28,2.81,0.88,0.7,,,99.93,5.952,3.79766,0.10766,2.262,3.69
24,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",14.3,,1250,gl-cp-pl,48.35,3.56,14.93,13.84,0.18,3.62,8.12,3.36,1.24,0.73,,,97.92,4.88,3.1089,-1.4911,0.28,4.6
26,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",14.3,,1220,gl-cp-pl,48.24,4.45,14.04,16.48,0.23,3.34,7.73,2.99,1.47,0.85,,,99.81,4.792,3.05236,-1.40764,0.332,4.46
30,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",14.3,,1190,gl-cp-pl,45.6,5.89,13.26,18.35,0.24,3.1,7.75,2.5,1.52,1.21,,,99.42,2.68,1.6954,-2.3246,-1.34,4.02
22,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",4.3,,1180,gl,49.51,2.79,14.97,12.01,0.19,4.89,10.13,2.95,0.95,0.62,,,99.01,5.808,3.70514,-0.19486,1.908,3.9
37,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",4.3,,1050,gl-cp-pl-ox,47.97,2.82,14.57,14.57,0.18,2.73,7.22,3.34,1.52,0.83,,,95.75,4.576,2.91358,-1.94642,-0.284,4.86
35,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",6.8,,1020,gl-cp-pl-ox,50,1.65,15.62,13.68,0.18,2.17,6.05,3.58,1.84,0.87,,,95.64,6.2,3.957,-1.463,0.78,5.42
29,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",9.3,,1220,gl,48.85,2.77,14.76,12.02,0.18,5,10.26,2.75,0.91,0.65,,,98.16,5.28,3.3659,-0.2941,1.62,3.66
31,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",9.3,,1120,gl-cp,48.47,2.86,15.69,12.21,0.2,3.3,8.08,3.24,1.13,0.68,,,95.86,4.976,3.17058,-1.19942,0.606,4.37
VB-1,"Auwera, J.V., Longhi, J., and Duchesne, J.C. (1998)",5,,1150,gl,47.26,3.82,13.97,15.56,0.25,3.06,7.7,3.28,1.77,2.4,,,99.07,4.008,2.54864,-2.50136,-1.042,5.05
